Date : 2024-04-09 09:09:49
Directory : c:\Users\Mahmu\OneDrive\Desktop\Soen341Project\GazaBrigade-soen341projectW2024\src
Total : 145 files,  23531 codes, 449 comments, 991 blanks, all 24971 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          6 |     15,193 |          0 |          6 |     15,199 |
| JavaScript JSX |         62 |      5,388 |        178 |        491 |      6,057 |
| JavaScript     |         63 |      2,723 |        270 |        462 |      3,455 |
| HTML           |          4 |        159 |          1 |         19 |        179 |
| CSS            |          7 |         61 |          0 |          9 |         70 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| XML            |          2 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        145 |     23,531 |        449 |        991 |     24,971 |
| . (Files)                                                                                                                                     |          2 |      4,169 |          0 |          2 |      4,171 |
| backend                                                                                                                                       |         52 |      7,312 |        178 |        431 |      7,921 |
| backend (Files)                                                                                                                               |          3 |      4,925 |         13 |         24 |      4,962 |
| backend\__tests__                                                                                                                             |          5 |        313 |         11 |         63 |        387 |
| backend\config                                                                                                                                |          2 |         88 |         17 |         13 |        118 |
| backend\controllers                                                                                                                           |          8 |      1,056 |         81 |        187 |      1,324 |
| backend\middlewares                                                                                                                           |          2 |        221 |          6 |          4 |        231 |
| backend\models                                                                                                                                |          7 |        297 |          2 |         44 |        343 |
| backend\mongodb                                                                                                                               |          1 |         24 |          0 |         10 |         34 |
| backend\public                                                                                                                                |          8 |        162 |         29 |         15 |        206 |
| backend\public (Files)                                                                                                                        |          2 |        126 |          1 |         10 |        137 |
| backend\public\dist                                                                                                                           |          5 |         29 |         28 |          3 |         60 |
| backend\public\dist (Files)                                                                                                                   |          2 |         15 |          0 |          1 |         16 |
| backend\public\dist\assets                                                                                                                    |          3 |         14 |         28 |          2 |         44 |
| backend\public\stylesheets                                                                                                                    |          1 |          7 |          0 |          2 |          9 |
| backend\routes                                                                                                                                |          9 |        111 |         19 |         60 |        190 |
| backend\utils                                                                                                                                 |          7 |        115 |          0 |         11 |        126 |
| frontend                                                                                                                                      |         91 |     12,050 |        271 |        558 |     12,879 |
| frontend (Files)                                                                                                                              |          8 |      6,226 |          2 |         21 |      6,249 |
